40000000, 128.351, 0.00122, 0.00139, 0.00125, 0.00135, 0.10834, 0.00237
80000000, 184.0873, 0.00114, 0.00159, 0.00134, 0.00134, 0.15842, 0.00165
120000000, 255.6437, 0.00115, 0.00131, 0.00115, 0.00124, 0.18827, 0.00241
160000000, 340.9632, 0.00115, 0.00136, 0.00114, 0.00128, 0.24092, 0.00154
200000000, 421.2197, 0.00115, 0.00135, 0.00115, 0.00127, 0.26408, 0.00178
240000000, 504.38, 0.00122, 0.00136, 0.00118, 0.00129, 0.29186, 0.00157
280000000, 587.3728, 0.00118, 0.00137, 0.00126, 0.00128, 0.3011, 0.0019
320000000, 675.4817, 0.00116, 0.00136, 0.00118, 0.00126, 0.41379, 0.00157
360000000, 755.5171, 0.00117, 0.00133, 0.00116, 0.00125, 0.35202, 0.00159
400000000, 836.848, 0.00114, 0.00138, 0.00118, 0.00127, 0.44102, 0.00156
440000000, 916.8449, 0.00116, 0.00136, 0.00126, 0.00125, 0.45434, 0.00185
480000000, 1004.626, 0.00127, 0.00148, 0.00127, 0.00136, 0.44049, 0.00201
520000000, 1086.28, 0.00131, 0.00133, 0.00117, 0.00127, 0.50886, 0.00211
560000000, 1174.555, 0.00114, 0.00134, 0.00115, 0.00124, 0.52536, 0.00225
600000000, 1254.589, 0.00115, 0.00136, 0.00115, 0.00127, 0.49187, 0.00155
640000000, 1340.725, 0.00116, 0.00135, 0.00117, 0.00136, 0.51882, 0.00164
680000000, 1417.726, 0.0012, 0.00136, 0.00122, 0.00133, 0.52793, 0.00165
720000000, 1518.072, 0.00117, 0.00138, 0.00118, 0.00131, 0.60987, 0.0018
760000000, 1584.362, 0.0012, 0.00136, 0.00115, 0.00132, 0.67129, 0.00175
800000000, 1715.998, 0.00117, 0.00134, 0.00116, 0.00128, 0.57541, 0.00232
840000000, 1855.383, 0.00116, 0.00132, 0.00111, 0.00129, 0.61248, 0.00236
880000000, 2057.223, 0.00128, 0.00151, 0.00132, 0.00146, 0.75638, 0.00221
920000000, 18540.74, 0.00131, 0.00147, 0.00115, 0.00141, 4.41719, 0.00377
960000000, 30376.66, 0.00133, 0.00151, 0.0015, 0.00144, 6.54526, 0.00295
1000000000, 34103.21, 0.0012, 0.00139, 0.0012, 0.00132, 4.11399, 0.00303
