10000000, 22.2114, 0.0014, 0.0013, 0.0012, 0.0013, 0.0016, 0.0016, 
20000000, 44.2446, 0.0014, 0.0014, 0.001, 0.0013, 0.0012, 0.0014, 
30000000, 66.3494, 0.0011, 0.0013, 0.0014, 0.0013, 0.0011, 0.0017, 
40000000, 90.5857, 0.0012, 0.0014, 0.0015, 0.0014, 0.001, 0.0017, 
50000000, 111.388, 0.0015, 0.0015, 0.0014, 0.0015, 0.0012, 0.0016, 
60000000, 132.745, 0.0015, 0.0016, 0.0015, 0.0013, 0.0012, 0.0015, 
70000000, 151.841, 0.0012, 0.0014, 0.0014, 0.0013, 0.0011, 0.0016, 
80000000, 175.774, 0.0013, 0.0017, 0.0014, 0.0013, 0.0014, 0.0017, 
90000000, 199.147, 0.0013, 0.0013, 0.0013, 0.0012, 0.0011, 0.0015, 
100000000, 221.692, 0.0016, 0.0016, 0.0014, 0.0014, 0.0011, 0.0016, 
110000000, 240.951, 0.0014, 0.0014, 0.0013, 0.0012, 0.0011, 0.0016, 
120000000, 260.493, 0.0012, 0.0014, 0.0012, 0.0012, 0.001, 0.0016, 
130000000, 282.5, 0.0016, 0.0012, 0.0013, 0.0012, 0.0011, 0.0018, 
140000000, 311.179, 0.0014, 0.0013, 0.0012, 0.0013, 0.001, 0.0017, 
150000000, 332.898, 0.0011, 0.0013, 0.0014, 0.0013, 0.0011, 0.0013, 
160000000, 351.467, 0.0014, 0.0014, 0.0013, 0.0011, 0.0014, 0.0016, 
170000000, 372.465, 0.0017, 0.0013, 0.0015, 0.0013, 0.0012, 0.0018, 
180000000, 405.311, 0.0016, 0.0014, 0.0014, 0.0015, 0.0012, 0.0018, 
190000000, 425.382, 0.0016, 0.0016, 0.0013, 0.0014, 0.001, 0.0017, 
200000000, 449.447, 0.0013, 0.001, 0.0013, 0.0012, 0.001, 0.0014, 
210000000, 466.54, 0.0013, 0.0016, 0.0015, 0.0014, 0.0013, 0.0017, 
220000000, 489.29, 0.0014, 0.0015, 0.0014, 0.0013, 0.0012, 0.0016, 
230000000, 507.67, 0.0015, 0.0016, 0.0013, 0.0014, 0.0013, 0.0016, 
240000000, 526.824, 0.0012, 0.0014, 0.0013, 0.0013, 0.0011, 0.0015, 
250000000, 554.093, 0.0011, 0.0013, 0.0013, 0.0015, 0.001, 0.0013, 
260000000, 581.573, 0.0015, 0.0015, 0.0012, 0.0013, 0.0011, 0.0017, 
270000000, 601.098, 0.0012, 0.0013, 0.0012, 0.0013, 0.0011, 0.0016, 
280000000, 629.02, 0.0012, 0.0016, 0.0013, 0.0013, 0.0012, 0.0017, 
290000000, 651.553, 0.0012, 0.0013, 0.0017, 0.0013, 0.0011, 0.0016, 
300000000, 674.608, 0.0012, 0.0016, 0.0014, 0.0014, 0.0011, 0.0019, 
310000000, 693.883, 0.0016, 0.0016, 0.0014, 0.0014, 0.001, 0.0017, 
320000000, 722.011, 0.0013, 0.0013, 0.0013, 0.0012, 0.001, 0.0016, 
330000000, 751.331, 0.0014, 0.0014, 0.0015, 0.0013, 0.0011, 0.0015, 
340000000, 761.88, 0.0014, 0.0013, 0.0013, 0.0013, 0.001, 0.0016, 
350000000, 792.898, 0.0016, 0.0015, 0.0017, 0.0012, 0.0011, 0.0018, 
